COUNTY AREA TOTAL DEM REP SCATTERING
COUNTY AREA TOTAL Karofsky Kelly SCATTERING
ADAMS "Town of ADAMS Wards 1-3" 328 142 186 0
ADAMS "Town of BIG FLATS Wards 1-2" 220 113 106 1
ADAMS "Town of COLBURN Ward 1" 65 27 38 0
ADAMS "Town of DELL PRAIRIE Wards 1-3" 370 195 175 0
ADAMS "Town of EASTON Wards 1-2" 275 122 153 0
ADAMS "Town of JACKSON Wards 1-2" 333 156 177 0
ADAMS "Town of LEOLA Ward 1" 68 18 50 0
ADAMS "Town of LINCOLN Ward 1" 117 57 60 0
ADAMS "Town of MONROE Ward 1" 150 71 79 0
ADAMS "Town of NEW CHESTER Wards 1-3" 191 89 102 0
ADAMS "Town of NEW HAVEN Ward 1" 220 106 114 0
ADAMS "Town of PRESTON Wards 1-2" 381 199 182 0
ADAMS "Town of QUINCY Wards 1-3" 328 164 164 0
ADAMS "Town of RICHFIELD Ward 1" 48 9 39 0
ADAMS "Town of ROME Wards 1-5" 1236 571 665 0
ADAMS "Town of SPRINGVILLE Wards 1-2" 331 140 191 0
ADAMS "Town of STRONGS PRAIRIE Wards 1-3" 338 140 198 0
ADAMS "Village of FRIENDSHIP Ward 1" 159 85 74 0
ADAMS "City of ADAMS Ward 1" 86 34 52 0
ADAMS "City of ADAMS Ward 2" 120 63 57 0
ADAMS "City of ADAMS Ward 3" 40 22 18 0
ADAMS "City of ADAMS Ward 4" 69 41 28 0
ADAMS "CITY OF WISCONSIN DELLS Wards 5,9" 8 4 4 0
ASHLAND "Town of AGENDA Ward 1" 119 44 75 0
ASHLAND "Town of ASHLAND Ward 1" 141 93 48 0
ASHLAND "Town of CHIPPEWA Ward 1" 110 53 57 0
ASHLAND "Town of GINGLES Ward 1" 208 116 92 0
ASHLAND "Town of GORDON Ward 1" 32 16 16 0
ASHLAND "Town of GORDON Ward 2" 57 26 31 0
ASHLAND "Town of JACOBS Ward 1" 167 56 111 0
ASHLAND "Town of LA POINTE Ward 1" 189 154 35 0
ASHLAND "Town of MARENGO Ward 1" 59 42 17 0
ASHLAND "Town of MARENGO Ward 2" 63 31 32 0
ASHLAND "Town of MORSE Ward 1" 103 57 46 0
ASHLAND "Town of MORSE Ward 2" 19 13 6 0
ASHLAND "Town of MORSE Ward 3" 15 6 9 0
ASHLAND "Town of PEEKSVILLE Ward 1" 26 8 18 0
ASHLAND "Town of PEEKSVILLE Ward 2" 28 13 15 0
ASHLAND "Town of SANBORN Ward 1" 43 33 10 0
ASHLAND "Town of SANBORN Ward 2" 108 82 26 0
ASHLAND "Town of SHANAGOLDEN Ward 1" 41 24 17 0
ASHLAND "Town of WHITE RIVER Ward 1" 216 81 133 2
ASHLAND "Town of WHITE RIVER Ward 2" 34 6 28 0
ASHLAND "Village of BUTTERNUT Ward 1" 7 4 3 0
ASHLAND "Village of BUTTERNUT Ward 2" 78 47 31 0
ASHLAND "City of ASHLAND Ward 1" 234 133 100 1
ASHLAND "City of ASHLAND Ward 2" 99 69 29 1
ASHLAND "City of ASHLAND Ward 3" 160 101 59 0
ASHLAND "City of ASHLAND Ward 4" 251 182 69 0
ASHLAND "City of ASHLAND Ward 5" 217 168 48 1
ASHLAND "City of ASHLAND Ward 6" 121 91 30 0
ASHLAND "City of ASHLAND Ward 7" 156 116 40 0
ASHLAND "City of ASHLAND Ward 8" 136 96 40 0
ASHLAND "City of ASHLAND Ward 9" 133 100 33 0
ASHLAND "City of ASHLAND Ward 10" 147 92 54 1
ASHLAND "City of ASHLAND Ward 11" 181 125 55 1
ASHLAND "City of MELLEN Ward 1" 128 73 55 0
BARRON "Town of ALMENA Wards 1-2" 210 72 138 0
BARRON "Town of ARLAND Ward 1" 134 79 55 0
BARRON "Town of BARRON Wards 1-2" 211 71 140 0
BARRON "Town of BEAR LAKE Ward 1" 164 89 75 0
BARRON "Town of CEDAR LAKE Ward 1" 386 154 232 0
BARRON "Town of CHETEK Wards 1-2" 468 225 243 0
BARRON "Town of CLINTON Ward 1" 148 55 93 0
BARRON "Town of CRYSTAL LAKE Ward 1" 206 75 131 0
BARRON "Town of CUMBERLAND Ward 1" 214 81 133 0
BARRON "Town of DALLAS Ward 1" 135 43 92 0
BARRON "Town of DOVRE Ward 1" 207 94 113 0
BARRON "Town of DOYLE Wards 1-2" 132 54 78 0
BARRON "Town of LAKELAND Wards 1-2" 255 104 151 0
BARRON "Town of MAPLE GROVE Wards 1-2" 223 77 146 0
BARRON "Town of MAPLE PLAIN Ward 1" 237 112 125 0
BARRON "Town of OAK GROVE Wards 1-2" 217 102 115 0
BARRON "Town of PRAIRIE FARM Wards 1-2" 134 56 78 0
BARRON "Town of PRAIRIE LAKE Wards 1-2" 468 188 280 0
BARRON "Town of RICE LAKE Wards 1-4" 758 371 386 1
BARRON "Town of SIOUX CREEK Ward 1" 204 73 131 0
BARRON "Town of STANFOLD Ward 1" 187 74 113 0
BARRON "Town of STANLEY Wards 1-4" 622 235 387 0
BARRON "Town of SUMNER Ward 1" 193 77 116 0
BARRON "Town of TURTLE LAKE Ward 1" 120 39 81 0
BARRON "Town of VANCE CREEK Ward 1" 148 66 82 0
BARRON "Village of ALMENA Ward 1" 117 36 81 0
BARRON "Village of CAMERON Wards 1-3" 319 130 189 0
BARRON "Village of DALLAS Ward 1" 96 40 56 0
BARRON "Village of HAUGEN Ward 1" 57 28 29 0
BARRON "VILLAGE OF NEW AUBURN Wards 2-3" 4 2 2 0
BARRON "Village of PRAIRIE FARM Ward 1" 76 32 44 0
BARRON "Village of TURTLE LAKE Ward 1" 150 69 81 0
BARRON "City of BARRON Wards 1-7" 756 441 315 0
BARRON "City of CHETEK Wards 1-4" 533 238 295 0
BARRON "City of CUMBERLAND Wards 1-4" 526 267 259 0
BARRON "City of RICE LAKE Wards 1-13" 1770 953 817 0
BAYFIELD "Town of BARKSDALE Ward 1" 292 179 113 0
BAYFIELD "Town of BARNES Ward 1" 295 162 133 0
BAYFIELD "Town of BAYFIELD Ward 1" 324 253 71 0
BAYFIELD "Town of BAYVIEW Ward 1" 223 139 84 0
BAYFIELD "Town of BELL Ward 1" 166 120 46 0
BAYFIELD "Town of CABLE Ward 1" 357 181 176 0
BAYFIELD "Town of CLOVER Ward 1" 130 76 54 0
BAYFIELD "Town of DELTA Ward 1" 150 80 70 0
BAYFIELD "Town of DRUMMOND Ward 1" 196 110 86 0
BAYFIELD "Town of EILEEN Ward 1" 219 109 110 0
BAYFIELD "Town of EILEEN Ward 2" 0 0 0 0
BAYFIELD "Town of GRAND VIEW Ward 1" 180 105 75 0
BAYFIELD "Town of HUGHES Ward 1" 155 81 74 0
BAYFIELD "Town of IRON RIVER Wards 1-2" 370 204 166 0
BAYFIELD "Town of KELLY Ward 1" 124 61 63 0
BAYFIELD "Town of KEYSTONE Ward 1" 132 54 78 0
BAYFIELD "Town of LINCOLN Ward 1" 121 54 67 0
BAYFIELD "Town of MASON Ward 1" 92 49 43 0
BAYFIELD "Town of NAMAKAGON Ward 1" 146 78 68 0
BAYFIELD "Town of ORIENTA Ward 1" 63 32 31 0
BAYFIELD "Town of OULU Ward 1" 218 120 98 0
BAYFIELD "Town of PILSEN Ward 1" 93 51 42 0
BAYFIELD "Town of PORT WING Ward 1" 182 109 72 1
BAYFIELD "Town of RUSSELL Wards 1-2" 283 222 61 0
BAYFIELD "Town of TRIPP Ward 1" 88 45 43 0
BAYFIELD "Town of WASHBURN Ward 1" 248 175 73 0
BAYFIELD "Village of MASON Ward 1" 25 10 15 0
BAYFIELD "CITY OF ASHLAND Ward 12" 0 0 0 0
BAYFIELD "City of BAYFIELD Wards 1,3" 117 96 21 0
BAYFIELD "City of BAYFIELD Ward 2" 66 57 9 0
BAYFIELD "City of BAYFIELD Ward 4" 75 71 4 0
BAYFIELD "City of WASHBURN Ward 1" 297 234 63 0
BAYFIELD "City of WASHBURN Ward 2" 132 108 24 0
BAYFIELD "City of WASHBURN Ward 3" 129 102 27 0
BAYFIELD "City of WASHBURN Ward 4" 300 223 77 0
BROWN "Town of EATON Wards 1-2" 436 168 267 1
BROWN "Town of GLENMORE Ward 1" 192 77 115 0
BROWN "Town of GLENMORE Ward 2" 83 28 55 0
BROWN "Town of GREEN BAY Wards 1-3" 673 265 408 0
BROWN "Town of HOLLAND Wards 1-2" 477 177 299 1
BROWN "Town of HUMBOLDT Wards 1-2" 383 135 248 0
BROWN "Town of LAWRENCE Wards 1-3" 728 364 364 0
BROWN "Town of LAWRENCE Wards 4-6" 942 397 545 0
