DIST COUNTY AREA TOTAL DEM REP LIB
DIST COUNTY AREA TOTAL DEM REP LIB
23 Maverick 323001A 0 225 112 8
23 Maverick 323001B 0 723 510 25
23 Maverick 323001C 0 1346 860 55
23 Maverick 323002A 0 232 107 12
23 Maverick 323002B 0 918 580 39
23 Maverick 323002C 0 628 393 33
23 Maverick 323002D 0 30 46 2
23 Maverick 323003A 0 980 701 33
23 Maverick 323003B 0 1135 830 61
23 Maverick 323003C 0 119 212 5
23 Maverick 323004A 0 264 146 9
23 Maverick 323004B 0 982 711 30
23 Maverick 323004C 0 353 201 11
23 Maverick 323004D 0 613 379 26
