COUNTY AREA TOTAL DEM REP Anderson White Turnbull Enz Cason Boucher Grimek William Hoffman Turtenwald Gehler Davis SCATTERING
COUNTY AREA TOTAL Evers Walker Anderson White Turnbull Enz Cason Boucher Grimek William Hoffman Turtenwald Gehler Davis SCATTERING
ADAMS "Town of ADAMS Wards 1-3" 607 233 356 9 6 NA 3 0 0 0 0 0 0 0 0 0
ADAMS "Town of BIG FLATS Wards 1-2" 440 162 262 5 6 NA 5 0 0 0 0 0 0 0 0 0
ADAMS "Town of COLBURN Ward 1" 105 40 63 1 0 NA 1 0 0 0 0 0 0 0 0 0
ADAMS "Town of DELL PRAIRIE Wards 1-3" 616 333 270 1 4 NA 7 1 0 0 0 0 0 0 0 0
ADAMS "Town of EASTON Wards 1-2" 464 184 272 5 0 NA 2 1 0 0 0 0 0 0 0 0
ADAMS "Town of JACKSON Wards 1-2" 522 235 274 7 1 NA 4 1 0 0 0 0 0 0 0 0
ADAMS "Town of LEOLA Ward 1" 133 19 113 0 0 NA 1 0 0 0 0 0 0 0 0 0
ADAMS "Town of LINCOLN Ward 1" 156 74 79 1 0 NA 1 1 0 0 0 0 0 0 0 0
ADAMS "Town of MONROE Ward 1" 234 88 145 0 1 NA 0 0 0 0 0 0 0 0 0 0
ADAMS "Town of NEW CHESTER Wards 1-3" 369 152 209 4 2 NA 1 1 0 0 0 0 0 0 0 0
ADAMS "Town of NEW HAVEN Ward 1" 328 158 158 2 1 NA 9 0 0 0 0 0 0 0 0 0
ADAMS "Town of PRESTON Wards 1-2" 656 279 364 5 2 NA 6 0 0 0 0 0 0 0 0 0
ADAMS "Town of QUINCY Wards 1-3" 614 277 325 4 3 NA 5 0 0 0 0 0 0 0 0 0
ADAMS "Town of RICHFIELD Ward 1" 84 23 61 0 0 NA 0 0 0 0 0 0 0 0 0 0
ADAMS "Town of ROME Wards 1-5" 1895 766 1104 7 7 NA 9 2 0 0 0 0 0 0 0 0
ADAMS "Town of SPRINGVILLE Wards 1-2" 571 219 341 6 1 NA 2 2 0 0 0 0 0 0 0 0
ADAMS "Town of STRONGS PRAIRIE Wards 1-3" 558 235 312 4 3 NA 4 0 0 0 0 0 0 0 0 0
ADAMS "Village of FRIENDSHIP Ward 1" 254 113 138 0 1 NA 2 0 0 0 0 0 0 0 0 0
ADAMS "City of ADAMS Wards 1-4" 667 294 356 6 4 NA 5 2 0 0 0 0 0 0 0 0
ADAMS "CITY OF WISCONSIN DELLS Wards 5,9" 16 8 7 1 0 NA 0 0 0 0 0 0 0 0 0 0
ASHLAND "Town of AGENDA Ward 1" 203 66 133 1 1 NA 2 0 0 0 0 0 0 0 0 0
ASHLAND "Town of ASHLAND Ward 1" 247 152 91 2 0 NA 2 0 0 0 0 0 0 0 0 0
ASHLAND "Town of CHIPPEWA Ward 1" 177 67 107 2 0 NA 0 1 0 0 0 0 0 0 0 0
ASHLAND "Town of GINGLES Ward 1" 400 248 144 2 2 NA 4 0 0 0 0 0 0 0 0 0
ASHLAND "Town of GORDON Wards 1-2" 137 53 81 1 0 NA 1 1 0 0 0 0 0 0 0 0
ASHLAND "Town of JACOBS Ward 1" 281 110 165 2 1 NA 3 0 0 0 0 0 0 0 0 0
ASHLAND "Town of LA POINTE Ward 1" 253 192 54 1 4 NA 2 0 0 0 0 0 0 0 0 0
ASHLAND "Town of MARENGO Wards 1-2" 206 113 90 2 0 NA 0 1 0 0 0 0 0 0 0 0
ASHLAND "Town of MORSE Wards 1-3" 250 134 113 0 1 NA 1 1 0 0 0 0 0 0 0 0
ASHLAND "Town of PEEKSVILLE Wards 1-2" 76 30 43 0 0 NA 3 0 0 0 0 0 0 0 0 0
ASHLAND "Town of SANBORN Wards 1-2" 451 371 66 1 5 NA 7 1 0 0 0 0 0 0 0 0
ASHLAND "Town of SHANAGOLDEN Ward 1" 65 33 30 0 1 NA 1 0 0 0 0 0 0 0 0 0
ASHLAND "Town of WHITE RIVER Wards 1-2" 415 139 266 2 2 NA 6 0 0 0 0 0 0 0 0 0
ASHLAND "Village of BUTTERNUT Wards 1-2" 135 71 62 1 1 NA 0 0 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 1" 399 188 205 2 1 NA 3 0 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 2" 217 146 59 3 2 NA 6 1 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 3" 259 170 86 0 1 NA 2 0 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 4" 394 264 123 4 0 NA 3 0 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 5" 357 272 78 5 1 NA 1 0 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 6" 251 177 61 6 6 NA 1 0 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 7" 383 290 84 1 4 NA 2 2 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 8" 288 199 82 2 5 NA 0 0 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 9" 237 168 58 5 3 NA 2 1 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 10" 274 183 86 1 2 NA 2 0 0 0 0 0 0 0 0 0
ASHLAND "City of ASHLAND Ward 11" 336 212 118 1 4 NA 1 0 0 0 0 0 0 0 0 0
ASHLAND "City of MELLEN Ward 1" 225 120 99 2 1 NA 3 0 0 0 0 0 0 0 0 0
BARRON "Town of ALMENA Wards 1-2" 391 144 240 2 3 NA 2 0 0 0 0 0 0 0 0 0
BARRON "Town of ARLAND Ward 1" 246 112 129 1 1 NA 3 0 0 0 0 0 0 0 0 0
BARRON "Town of BARRON Wards 1-2" 322 84 234 1 1 NA 2 0 0 0 0 0 0 0 0 0
BARRON "Town of BEAR LAKE Ward 1" 315 145 167 0 1 NA 1 1 0 0 0 0 0 0 0 0
BARRON "Town of CEDAR LAKE Ward 1" 635 213 414 2 4 NA 2 0 0 0 0 0 0 0 0 0
BARRON "Town of CHETEK Wards 1-2" 918 356 543 9 3 NA 7 0 0 0 0 0 0 0 0 0
BARRON "Town of CLINTON Ward 1" 272 109 158 0 0 NA 5 0 0 0 0 0 0 0 0 0
BARRON "Town of CRYSTAL LAKE Ward 1" 332 124 205 3 0 NA 0 0 0 0 0 0 0 0 0 0
BARRON "Town of CUMBERLAND Ward 1" 394 154 239 0 1 NA 0 0 0 0 0 0 0 0 0 0
BARRON "Town of DALLAS Ward 1" 240 77 162 0 0 NA 0 1 0 0 0 0 0 0 0 0
BARRON "Town of DOVRE Ward 1" 322 134 181 1 1 NA 5 0 0 0 0 0 0 0 0 0
BARRON "Town of DOYLE Wards 1-2" 232 82 146 0 0 NA 3 1 0 0 0 0 0 0 0 0
BARRON "Town of LAKELAND Wards 1-2" 478 181 290 3 1 NA 3 0 0 0 0 0 0 0 0 0
BARRON "Town of MAPLE GROVE Wards 1-2" 382 100 274 2 2 NA 3 1 0 0 0 0 0 0 0 0
BARRON "Town of MAPLE PLAIN Ward 1" 410 194 214 0 1 NA 1 0 0 0 0 0 0 0 0 0
BARRON "Town of OAK GROVE Wards 1-2" 409 174 232 3 0 NA 0 0 0 0 0 0 0 0 0 0
BARRON "Town of PRAIRIE FARM Wards 1-2" 224 93 127 0 2 NA 2 0 0 0 0 0 0 0 0 0
BARRON "Town of PRAIRIE LAKE Wards 1-2" 728 253 469 4 0 NA 2 0 0 0 0 0 0 0 0 0
BARRON "Town of RICE LAKE Wards 1-4" 1381 618 752 1 3 NA 6 1 0 0 0 0 0 0 0 0
BARRON "Town of SIOUX CREEK Ward 1" 276 97 173 2 2 NA 1 1 0 0 0 0 0 0 0 0
BARRON "Town of STANFOLD Ward 1" 321 116 203 0 0 NA 2 0 0 0 0 0 0 0 0 0
BARRON "Town of STANLEY Wards 1-4" 1111 399 696 5 4 NA 7 0 0 0 0 0 0 0 0 0
BARRON "Town of SUMNER Ward 1" 319 121 195 2 0 NA 0 1 0 0 0 0 0 0 0 0
BARRON "Town of TURTLE LAKE Ward 1" 240 97 137 2 2 NA 2 0 0 0 0 0 0 0 0 0
BARRON "Town of VANCE CREEK Ward 1" 273 128 144 0 0 NA 1 0 0 0 0 0 0 0 0 0
BARRON "Village of ALMENA Ward 1" 217 71 141 2 1 NA 2 0 0 0 0 0 0 0 0 0
BARRON "Village of CAMERON Wards 1-3" 604 245 348 3 2 NA 6 0 0 0 0 0 0 0 0 0
BARRON "Village of DALLAS Ward 1" 119 35 77 3 2 NA 1 1 0 0 0 0 0 0 0 0
BARRON "Village of HAUGEN Ward 1" 128 59 66 1 1 NA 1 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF NEW AUBURN Ward 2" 8 3 5 0 0 NA 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF NEW AUBURN Ward 3" 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0
BARRON "Village of PRAIRIE FARM Ward 1" 147 59 86 0 0 NA 1 1 0 0 0 0 0 0 0 0
BARRON "Village of TURTLE LAKE Ward 1" 264 114 143 1 2 NA 2 2 0 0 0 0 0 0 0 0
BARRON "City of BARRON Wards 1-7" 1069 509 543 8 1 NA 7 1 0 0 0 0 0 0 0 0
BARRON "City of CHETEK Wards 1-4" 789 325 448 4 7 NA 5 0 0 0 0 0 0 0 0 0
BARRON "City of CUMBERLAND Wards 1-4" 927 441 470 7 3 NA 5 1 0 0 0 0 0 0 0 0
BARRON "City of RICE LAKE Wards 1-13" 3124 1457 1604 27 12 NA 21 3 0 0 0 0 0 0 0 0
BAYFIELD "Town of BARKSDALE Ward 1" 426 233 185 2 1 NA 5 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of BARNES Ward 1" 518 241 268 2 0 NA 7 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of BAYFIELD Ward 1" 486 336 144 1 3 NA 2 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of BAYVIEW Ward 1" 329 192 131 0 2 NA 4 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of BELL Ward 1" 223 145 73 3 0 NA 2 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of CABLE Ward 1" 488 222 249 6 2 NA 8 1 0 0 0 0 0 0 0 0
BAYFIELD "Town of CLOVER Ward 1" 170 93 75 1 0 NA 1 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of DELTA Ward 1" 210 97 110 0 1 NA 2 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of DRUMMOND Ward 1" 283 152 128 1 0 NA 2 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of EILEEN Wards 1-2" 382 202 174 2 0 NA 2 2 0 0 0 0 0 0 0 0
BAYFIELD "Town of GRAND VIEW Ward 1" 274 151 112 4 5 NA 2 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of HUGHES Ward 1" 260 138 114 2 1 NA 5 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of IRON RIVER Wards 1-2" 659 326 315 5 3 NA 10 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of KELLY Ward 1" 211 97 109 1 1 NA 3 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of KEYSTONE Ward 1" 177 73 95 5 1 NA 3 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of LINCOLN Ward 1" 153 78 71 1 2 NA 1 0 0 0 0 0 0 0 0 0
