COUNTY AREA TOTAL DEM REP LIB IND GRN OTH
COUNTY AREA TOTAL Clinton Trump Johnson McMullin Stein Other
"Accomack County" "101 - Chincoteague" 1680 444 1188 26 10 7 5
"Accomack County" "201 - Atlantic" 750 175 553 13 7 1 1
"Accomack County" "202 - Greenbackville" 1030 302 697 17 4 7 3
"Accomack County" "301 - New Church" 1338 713 592 21 4 3 5
"Accomack County" "401 - Bloxom" 496 141 342 9 3 1 0
"Accomack County" "402 - Parksley" 736 218 489 16 7 5 1
"Accomack County" "403 - Saxis" 200 42 153 1 3 1 0
"Accomack County" "501 - Mappsville" 663 397 243 10 1 7 5
"Accomack County" "502 - Rue" 521 385 119 9 4 2 2
"Accomack County" "601 - Accomac" 1164 486 637 16 13 8 4
"Accomack County" "602 - Tangier" 253 27 221 1 1 1 2
"Accomack County" "701 - Nandua" 1856 805 976 35 19 7 14
"Accomack County" "801 - Bobtown" 594 202 369 12 3 4 4
"Accomack County" "802 - Melfa" 850 436 392 14 5 0 3
"Accomack County" "803 - Wachapreague" 496 138 349 6 2 0 1
"Accomack County" "901 - Painter" 1698 1042 618 24 10 4 0
"Accomack County" "Ab - Central Absentee Precinct" 1487 784 644 32 16 8 3
"Accomack County" Provisional 6 3 1 2 0 0 0
"Albemarle County" "101 - Woodbrook" 2012 1192 680 82 23 14 21
"Albemarle County" "103 - Branchlands" 797 546 208 23 5 10 5
"Albemarle County" "104 - Agnor-Hurt" 1627 1106 406 47 33 23 12
"Albemarle County" "105 - Dunlora" 2113 1363 592 61 61 17 19
"Albemarle County" "106 - Northside" 2248 1161 901 101 60 9 16
"Albemarle County" "201 - Jack Jouett" 1528 897 531 38 32 13 17
"Albemarle County" "202 - University Hall" 2496 1851 407 149 48 22 19
"Albemarle County" "203 - Georgetown" 1886 1338 398 66 40 21 23
"Albemarle County" "204 - Belfield" 784 431 290 37 16 2 8
"Albemarle County" "301 - Ivy" 2663 1692 818 78 44 19 12
"Albemarle County" "302 - Red Hill" 1951 1103 738 56 17 18 19
"Albemarle County" "304 - East Ivy" 692 397 245 25 18 3 4
"Albemarle County" "305 - Country Green" 1643 957 555 57 37 18 19
"Albemarle County" "306 - Porters" 1041 588 388 32 6 21 6
"Albemarle County" "307 - Yellow Mountain" 506 261 202 17 13 5 8
"Albemarle County" "401 - Scottsville" 1106 445 590 41 12 12 6
"Albemarle County" "402 - Monticello" 1046 445 547 25 8 11 10
"Albemarle County" "405 - Cale" 3288 2198 805 142 77 33 33
"Albemarle County" "406 - Stone Robinson" 2052 909 997 73 40 14 19
"Albemarle County" "501 - Keswick" 984 538 397 21 9 7 12
"Albemarle County" "502 - Stony Point" 1137 534 530 38 19 6 10
"Albemarle County" "503 - Hollymead" 1777 971 654 69 49 13 21
"Albemarle County" "504 - Free Bridge" 2660 1627 823 114 49 20 27
"Albemarle County" "506 - Baker-Butler" 2244 1117 938 89 62 21 17
"Albemarle County" "601 - Crozet" 2862 1576 1081 122 36 22 25
"Albemarle County" "602 - Free Union" 979 484 444 25 11 6 9
"Albemarle County" "603 - Earlysville" 2269 1061 1045 82 43 15 23
"Albemarle County" "604 - Brownsville" 3255 1802 1192 152 69 14 26
"Albemarle County" "Ab - Central Absentee Precinct" 6993 4707 1828 238 120 39 61
"Albemarle County" Provisional 87 48 29 5 2 2 1
"Alexandria City" "101 - Ladrey Senior Building" 1423 971 349 39 29 12 23
"Alexandria City" "102 - City Hall" 1429 879 413 52 22 7 56
"Alexandria City" "103 - Lyles Crouch School" 2147 1504 497 58 36 17 35
"Alexandria City" "104 - Durant Center" 1717 1293 271 59 47 9 38
"Alexandria City" "105 - Lee Center" 2366 1696 480 79 53 15 43
"Alexandria City" "106 - Cora Kelly Center" 2902 2301 380 95 75 19 32
"Alexandria City" "107 - Mt Vernon Recreation Center" 3112 2384 486 88 79 23 52
"Alexandria City" "108 - George Washington Middle Sch" 2812 2165 397 91 85 25 49
"Alexandria City" "109 - Fire Department Headquarters" 1515 1012 351 65 46 13 28
"Alexandria City" "110 - Charles Houston Center" 1887 1488 246 66 42 23 22
"Alexandria City" "201 - Maury School" 1729 1294 299 49 36 14 37
"Alexandria City" "202 - George Mason School" 1797 1228 404 45 55 7 58
"Alexandria City" "203 - Agudas Achim Synagogue" 1917 1482 296 45 52 14 28
"Alexandria City" "204 - Blessed Sacrament Church" 1730 1186 391 49 40 14 50
"Alexandria City" "205 - Douglas Macarthur School" 2264 1566 500 77 54 9 58
"Alexandria City" "206 - Chinquapin Park Recreation Ctr" 1709 1239 356 44 31 13 26
"Alexandria City" "207 - Temple Beth El Synagogue" 2247 1557 519 68 46 17 40
"Alexandria City" "208 - Nova Arts Center" 2261 1722 389 60 37 30 23
"Alexandria City" "209 - James K Polk School" 2378 1835 414 49 40 17 23
"Alexandria City" "210 - The Hermitage" 1162 805 274 29 32 8 14
"Alexandria City" "302 - Patrick Henry Rec Center" 1774 1407 247 48 31 22 19
"Alexandria City" "303 - Charles E Beatley Library" 1998 1599 298 38 17 19 27
"Alexandria City" "304 - Samuel Tucker School" 2838 2246 413 71 47 31 30
"Alexandria City" "305 - John Adams School" 2273 1843 320 38 28 20 24
"Alexandria City" "306 - William Ramsay School" 2367 1985 285 37 20 21 19
"Alexandria City" "307 - South Port" 1802 1376 350 26 18 18 14
"Alexandria City" "308 - Cameron Station Community Ctr" 2119 1408 545 67 42 16 41
"Alexandria City" "Ab - Central Absentee Precinct" 19940 15677 3069 484 251 138 321
"Alexandria City" Provisional 155 94 46 4 7 1 3
