COUNTY AREA TOTAL DEM REP LIB WI
COUNTY AREA TOTAL Worley Thomas Bodenhausen WRITEIN
Autauga "ABSENTEE VOTERS" 0 93 244 4 0
Autauga "AUTAUGA COUNTY COURTHOUSE" 0 578 297 12 1
Autauga "AUTAUGA COUNTY VOTING SITE" 0 70 120 4 0
Autauga "AUTAUGAVILLE VOL_ FIRE DEPT_" 0 260 106 8 0
Autauga "BILLINGSLEY GOVERNMENT BLDG_" 0 44 149 4 0
Autauga "BOOTH POST OFFICE" 0 184 266 12 0
Autauga "CAMELLIA BAPTIST CHURCH" 0 348 584 20 2
Autauga "EAST MEMORIAL BAPTIST CHURCH" 0 337 874 29 4
Autauga "HAYNES COMMUNITY CENTER" 0 58 108 0 0
Autauga "INDEPENDENCE VOTING SITE" 0 183 96 5 0
Autauga "JONES COMMUNITY CENTER" 0 85 97 2 1
Autauga "MARBURY COMMUNITY CENTER" 0 219 310 18 2
Autauga "MULBERRY STATESVILLE COMM_" 0 182 53 3 0
Autauga "NATIONAL GUARD ARMORY .1" 0 252 502 12 1
Autauga "NATIONAL GUARD ARMORY .2" 0 234 557 16 3
Autauga "OLD KINGSTON VOTING SITE" 0 304 128 8 0
Autauga "PINE LEVEL COMMUNITY CENTER" 0 283 723 24 1
Autauga "PRATTMONT BAPTIST CHURCH" 0 349 687 17 3
Autauga "TRINITY UNITED METHODIST .1" 0 286 791 19 0
Autauga "TRINITY UNITED METHODIST .2" 0 388 946 17 2
Autauga "UPPER KINGSTON COMMUNITY CNTR" 0 297 816 17 4
Autauga "WHITE CITY FIRE" 0 87 225 9 0
Baldwin "ABSENTEE VOTERS" 0 233 764 32 4
Baldwin "BARNWELL CHURCH" 0 174 410 24 2
Baldwin "BARNWELL COMMUNITY CENTER" 0 89 335 17 0
Baldwin "BAY MINETTE CITY HALL CIVIC .1" 0 72 136 3 0
Baldwin "BAY MINETTE CITY HALL CIVIC .2" 0 392 868 22 3
Baldwin "BAY MINETTE INTERMEDIATE SCH" 0 164 18 4 0
Baldwin "BELFOREST COMMUNITY CENTER" 0 90 537 32 1
